[9907210279/cvxfq, 9757486692/fzuhb, 9766833105/kvdzd, 9522935316/omefz] initial
[3960902626/ofiyv, 3931084271/npiws, 2867189831/nvton, 3681790276/lzvfa] i = 33
[3931084271/npiws, 3681790276/lzvfa, 2867189831/nvton, 3620642462/uoaqw] i = 32
[3681790276/lzvfa, 3620642462/uoaqw, 2867189831/nvton, 2635433667/vlyyv] i = 31
[3620642462/uoaqw, 3558262259/mldyg, 2867189831/nvton, 2635433667/vlyyv] i = 30
[3558262259/mldyg, 3472001417/lexgi, 2867189831/nvton, 2635433667/vlyyv] i = 29
[3472001417/lexgi, 3385192669/cpyfs, 2867189831/nvton, 2635433667/vlyyv] i = 28
[3385192669/cpyfs, 3311201102/yjpva, 2867189831/nvton, 2635433667/vlyyv] i = 27
[3311201102/yjpva, 2839174716/oadad, 2867189831/nvton, 2635433667/vlyyv] i = 26
[2867189831/nvton, 2839174716/oadad, 2575609728/xkkqf, 2635433667/vlyyv] i = 25
[2839174716/oadad, 2777576365/dsreo, 2575609728/xkkqf, 2635433667/vlyyv] i = 24
[2777576365/dsreo, 2635433667/vlyyv, 2575609728/xkkqf, 2579951887/fzxvf] i = 23
[2635433667/vlyyv, 2579951887/fzxvf, 2575609728/xkkqf, 2198505254/kthfg] i = 22
[2579951887/fzxvf, 2198505254/kthfg, 2575609728/xkkqf, 2116508587/pfieq] i = 21
[2575609728/xkkqf, 2198505254/kthfg, 2531170662/jolsk, 2116508587/pfieq] i = 20
[2531170662/jolsk, 2198505254/kthfg, 2501447595/jjhfr, 2116508587/pfieq] i = 19
[2501447595/jjhfr, 2198505254/kthfg, 2091141431/zfwam, 2116508587/pfieq] i = 18
[2198505254/kthfg, 2116508587/pfieq, 2091141431/zfwam, 1941448558/yxhyt] i = 17
[2116508587/pfieq, 2030120565/yhuxw, 2091141431/zfwam, 1941448558/yxhyt] i = 16
[2091141431/zfwam, 2030120565/yhuxw, 2064107649/rymfd, 1941448558/yxhyt] i = 15
[2064107649/rymfd, 2030120565/yhuxw, 2040217507/dfbsl, 1941448558/yxhyt] i = 14
[2040217507/dfbsl, 2030120565/yhuxw, 1792171174/qtpkb, 1941448558/yxhyt] i = 13
[2030120565/yhuxw, 1941448558/yxhyt, 1792171174/qtpkb, 1874497164/klolk] i = 12
[1941448558/yxhyt, 1896351253/frgeu, 1792171174/qtpkb, 1874497164/klolk] i = 11
[1896351253/frgeu, 1874497164/klolk, 1792171174/qtpkb, 1521537636/tjutk] i = 10
[1874497164/klolk, 1811561317/ubiri, 1792171174/qtpkb, 1521537636/tjutk] i = 9
[1811561317/ubiri, 1521537636/tjutk, 1792171174/qtpkb, 1167735542/uusif] i = 8
[1792171174/qtpkb, 1521537636/tjutk, 1573184156/xvcdp, 1167735542/uusif] i = 7
[1573184156/xvcdp, 1521537636/tjutk, 1313699743/htufh, 1167735542/uusif] i = 6
[1521537636/tjutk, 1330889608/daasy, 1313699743/htufh, 1167735542/uusif] i = 5
[1330889608/daasy, 1167735542/uusif, 1313699743/htufh, 1091283810/nygsp] i = 4
[1313699743/htufh, 1167735542/uusif, 1091283810/nygsp, 1330889608/daasy] i = 3
[1167735542/uusif, 1091283810/nygsp, 1313699743/htufh, 1330889608/daasy] i = 2
[1091283810/nygsp, 1167735542/uusif, 1313699743/htufh, 1330889608/daasy] i = 1
