[9685906552/czmxi, 9745870506/gvkwl, 8425729982/gbxil, 9040200196/dlicf, 9312242615/boosa] initial
[7664263595/tpgbk, 6918084835/lntbl, 7183236262/jsmnc, 6941835376/rvnhc, 6000912825/pbzif] i = 72
[7411948737/znvkh, 6918084835/lntbl, 7183236262/jsmnc, 6941835376/rvnhc, 6000912825/pbzif] i = 71
[7191679847/wgzgk, 6918084835/lntbl, 7183236262/jsmnc, 6941835376/rvnhc, 6000912825/pbzif] i = 70
[7191679847/wgzgk, 6918084835/lntbl, 6903206425/pdsnr, 6941835376/rvnhc, 6000912825/pbzif] i = 69
[6968511118/gpstg, 6918084835/lntbl, 6903206425/pdsnr, 6941835376/rvnhc, 6000912825/pbzif] i = 68
[6968511118/gpstg, 6918084835/lntbl, 6903206425/pdsnr, 6548401297/glcei, 6000912825/pbzif] i = 67
[6968511118/gpstg, 5855276584/kiaty, 6903206425/pdsnr, 6548401297/glcei, 6000912825/pbzif] i = 66
[6469855738/zkkbd, 5855276584/kiaty, 6903206425/pdsnr, 6548401297/glcei, 6000912825/pbzif] i = 65
[6469855738/zkkbd, 5855276584/kiaty, 6903206425/pdsnr, 6417426832/qhjxk, 6000912825/pbzif] i = 64
[6469855738/zkkbd, 5855276584/kiaty, 6903206425/pdsnr, 5777432600/jmadj, 6000912825/pbzif] i = 63
[6469855738/zkkbd, 5855276584/kiaty, 5625651928/bcnos, 5777432600/jmadj, 6000912825/pbzif] i = 62
[6469855738/zkkbd, 5787949209/dckbm, 5625651928/bcnos, 5777432600/jmadj, 6000912825/pbzif] i = 61
[6282485297/mzlmx, 5787949209/dckbm, 5625651928/bcnos, 5777432600/jmadj, 6000912825/pbzif] i = 60
[6282485297/mzlmx, 5787949209/dckbm, 5625651928/bcnos, 5777432600/jmadj, 4857163106/wemfa] i = 59
[6012772689/aqbln, 5787949209/dckbm, 5625651928/bcnos, 5777432600/jmadj, 4857163106/wemfa] i = 58
[5278790660/pbddg, 5787949209/dckbm, 5625651928/bcnos, 5777432600/jmadj, 4857163106/wemfa] i = 57
[5278790660/pbddg, 5787949209/dckbm, 5625651928/bcnos, 5748275762/mgjtw, 4857163106/wemfa] i = 56
[5278790660/pbddg, 5787949209/dckbm, 5625651928/bcnos, 5445472264/wgpnc, 4857163106/wemfa] i = 55
[5278790660/pbddg, 4853027131/tprju, 5625651928/bcnos, 5445472264/wgpnc, 4857163106/wemfa] i = 54
[5278790660/pbddg, 4853027131/tprju, 5586950874/pdbal, 5445472264/wgpnc, 4857163106/wemfa] i = 53
[5278790660/pbddg, 4853027131/tprju, 5586950874/pdbal, 4387501828/xovdz, 4857163106/wemfa] i = 52
[5278790660/pbddg, 4853027131/tprju, 5586950874/pdbal, 4387501828/xovdz, 4635003055/lqgtk] i = 51
[5278790660/pbddg, 4853027131/tprju, 5506079192/sqxqg, 4387501828/xovdz, 4635003055/lqgtk] i = 50
[5278790660/pbddg, 4853027131/tprju, 5406530988/qmron, 4387501828/xovdz, 4635003055/lqgtk] i = 49
[5278790660/pbddg, 4853027131/tprju, 4051039653/oxlwx, 4387501828/xovdz, 4635003055/lqgtk] i = 48
[4602214411/fkkrv, 4853027131/tprju, 4051039653/oxlwx, 4387501828/xovdz, 4635003055/lqgtk] i = 47
[4602214411/fkkrv, 4662353908/njeyk, 4051039653/oxlwx, 4387501828/xovdz, 4635003055/lqgtk] i = 46
[4602214411/fkkrv, 4662353908/njeyk, 4051039653/oxlwx, 4387501828/xovdz, 4562279217/sdbjy] i = 45
[4602214411/fkkrv, 4662353908/njeyk, 4051039653/oxlwx, 4387501828/xovdz, 4141464883/otziz] i = 44
[4602214411/fkkrv, 4262235761/hhcob, 4051039653/oxlwx, 4387501828/xovdz, 4141464883/otziz] i = 43
[4602214411/fkkrv, 4132097685/rlkxv, 4051039653/oxlwx, 4387501828/xovdz, 4141464883/otziz] i = 42
[3931084271/npiws, 4132097685/rlkxv, 4051039653/oxlwx, 4387501828/xovdz, 4141464883/otziz] i = 41
[3931084271/npiws, 4132097685/rlkxv, 4051039653/oxlwx, 3681790276/lzvfa, 4141464883/otziz] i = 40
[3931084271/npiws, 4132097685/rlkxv, 4051039653/oxlwx, 3681790276/lzvfa, 3960902626/ofiyv] i = 39
[3931084271/npiws, 4132097685/rlkxv, 4051039653/oxlwx, 3681790276/lzvfa, 2635433667/vlyyv] i = 38
[3931084271/npiws, 2867189831/nvton, 4051039653/oxlwx, 3681790276/lzvfa, 2635433667/vlyyv] i = 37
[3931084271/npiws, 2867189831/nvton, 4051039653/oxlwx, 3620642462/uoaqw, 2635433667/vlyyv] i = 36
[3931084271/npiws, 2867189831/nvton, 2501447595/jjhfr, 3620642462/uoaqw, 2635433667/vlyyv] i = 35
[3931084271/npiws, 2575609728/xkkqf, 2501447595/jjhfr, 3620642462/uoaqw, 2635433667/vlyyv] i = 34
[3558262259/mldyg, 2575609728/xkkqf, 2501447595/jjhfr, 3620642462/uoaqw, 2635433667/vlyyv] i = 33
[3558262259/mldyg, 2575609728/xkkqf, 2501447595/jjhfr, 2198505254/kthfg, 2635433667/vlyyv] i = 32
[3558262259/mldyg, 2575609728/xkkqf, 2501447595/jjhfr, 2198505254/kthfg, 2579951887/fzxvf] i = 31
[3472001417/lexgi, 2575609728/xkkqf, 2501447595/jjhfr, 2198505254/kthfg, 2579951887/fzxvf] i = 30
[3385192669/cpyfs, 2575609728/xkkqf, 2501447595/jjhfr, 2198505254/kthfg, 2579951887/fzxvf] i = 29
[3311201102/yjpva, 2575609728/xkkqf, 2501447595/jjhfr, 2198505254/kthfg, 2579951887/fzxvf] i = 28
[2839174716/oadad, 2575609728/xkkqf, 2501447595/jjhfr, 2198505254/kthfg, 2579951887/fzxvf] i = 27
[2777576365/dsreo, 2575609728/xkkqf, 2501447595/jjhfr, 2198505254/kthfg, 2579951887/fzxvf] i = 26
[2777576365/dsreo, 2531170662/jolsk, 2501447595/jjhfr, 2198505254/kthfg, 2579951887/fzxvf] i = 25
[2030120565/yhuxw, 2531170662/jolsk, 2501447595/jjhfr, 2198505254/kthfg, 2579951887/fzxvf] i = 24
[2030120565/yhuxw, 2531170662/jolsk, 2501447595/jjhfr, 2198505254/kthfg, 1941448558/yxhyt] i = 23
[2030120565/yhuxw, 2531170662/jolsk, 2501447595/jjhfr, 2116508587/pfieq, 1941448558/yxhyt] i = 22
[2030120565/yhuxw, 2531170662/jolsk, 2501447595/jjhfr, 1874497164/klolk, 1941448558/yxhyt] i = 21
[2030120565/yhuxw, 2091141431/zfwam, 2501447595/jjhfr, 1874497164/klolk, 1941448558/yxhyt] i = 20
[2030120565/yhuxw, 2091141431/zfwam, 2064107649/rymfd, 1874497164/klolk, 1941448558/yxhyt] i = 19
[2030120565/yhuxw, 1573184156/xvcdp, 2064107649/rymfd, 1874497164/klolk, 1941448558/yxhyt] i = 18
[2030120565/yhuxw, 1573184156/xvcdp, 2064107649/rymfd, 1874497164/klolk, 1167735542/uusif] i = 17
[1896351253/frgeu, 1573184156/xvcdp, 2064107649/rymfd, 1874497164/klolk, 1167735542/uusif] i = 16
[1896351253/frgeu, 1573184156/xvcdp, 2040217507/dfbsl, 1874497164/klolk, 1167735542/uusif] i = 15
[1896351253/frgeu, 1573184156/xvcdp, 1792171174/qtpkb, 1874497164/klolk, 1167735542/uusif] i = 14
[1896351253/frgeu, 1573184156/xvcdp, 1313699743/htufh, 1874497164/klolk, 1167735542/uusif] i = 13
[1896351253/frgeu, 1573184156/xvcdp, 1313699743/htufh, 1521537636/tjutk, 1167735542/uusif] i = 12
[1811561317/ubiri, 1573184156/xvcdp, 1313699743/htufh, 1521537636/tjutk, 1167735542/uusif] i = 11
[1811561317/ubiri, 1573184156/xvcdp, 1313699743/htufh, 1091283810/nygsp, 1167735542/uusif] i = 10
[1330889608/daasy, 1573184156/xvcdp, 1313699743/htufh, 1091283810/nygsp, 1167735542/uusif] i = 9
[1330889608/daasy, 1573184156/xvcdp, 1313699743/htufh, 1091283810/nygsp, 1874497164/klolk] i = 8
[1330889608/daasy, 1091283810/nygsp, 1313699743/htufh, 1811561317/ubiri, 1874497164/klolk] i = 7
[1330889608/daasy, 1091283810/nygsp, 1792171174/qtpkb, 1811561317/ubiri, 1874497164/klolk] i = 6
[1091283810/nygsp, 1573184156/xvcdp, 1792171174/qtpkb, 1811561317/ubiri, 1874497164/klolk] i = 5
[1521537636/tjutk, 1573184156/xvcdp, 1792171174/qtpkb, 1811561317/ubiri, 1874497164/klolk] i = 4
[1521537636/tjutk, 1573184156/xvcdp, 1792171174/qtpkb, 1811561317/ubiri, 1874497164/klolk] i = 3
[1521537636/tjutk, 1573184156/xvcdp, 1792171174/qtpkb, 1811561317/ubiri, 1874497164/klolk] i = 2
[1521537636/tjutk, 1573184156/xvcdp, 1792171174/qtpkb, 1811561317/ubiri, 1874497164/klolk] i = 1
